"","trisk","df","logLik","AIC","BIC","Method","Cancer","Age","Sex","Database"
"136",22591,5,-17033.004,34076.008,34114.509,"Spline (3 knots)","Lung","All","Female","CPRD_GOLD"
"137",22024,2,-18039.337,36082.674,36098.377,"Gompertz","Lung","All","Male","CPRD_GOLD"
"138",22024,2,-18803.565,37611.13,37626.832,"WeibullPH","Lung","All","Male","CPRD_GOLD"
"139",22024,1,-21019.017,42040.035,42047.886,"Exponential","Lung","All","Male","CPRD_GOLD"
"140",22024,2,-17744.748,35493.496,35509.198,"Log-logistic","Lung","All","Male","CPRD_GOLD"
"141",22024,2,-17798.264,35600.528,35616.23,"Log-normal","Lung","All","Male","CPRD_GOLD"
"142",22024,3,-17796.701,35599.403,35622.957,"Generalised Gamma","Lung","All","Male","CPRD_GOLD"
"143",22024,3,-17741.765,35489.53,35513.084,"Spline (1 knot)","Lung","All","Male","CPRD_GOLD"
"144",22024,5,-17699.553,35409.105,35448.362,"Spline (3 knots)","Lung","All","Male","CPRD_GOLD"
"145",3405,2,-2567.489,5138.979,5151.616,"Gompertz","Pancreatic","All","Female","CPRD_GOLD"
"146",3405,2,-2845.132,5694.264,5706.902,"WeibullPH","Pancreatic","All","Female","CPRD_GOLD"
"147",3405,1,-3404.305,6810.609,6816.928,"Exponential","Pancreatic","All","Female","CPRD_GOLD"
"148",3405,2,-2489.188,4982.376,4995.014,"Log-logistic","Pancreatic","All","Female","CPRD_GOLD"
"149",3405,2,-2505.325,5014.65,5027.288,"Log-normal","Pancreatic","All","Female","CPRD_GOLD"
"150",3405,3,-2499.673,5005.346,5024.302,"Generalised Gamma","Pancreatic","All","Female","CPRD_GOLD"
"151",3405,3,-2473.288,4952.575,4971.532,"Spline (1 knot)","Pancreatic","All","Female","CPRD_GOLD"
"152",3405,5,-2471.367,4952.735,4984.328,"Spline (3 knots)","Pancreatic","All","Female","CPRD_GOLD"
"153",3499,2,-2685.51,5375.021,5387.588,"Gompertz","Pancreatic","All","Male","CPRD_GOLD"
"154",3499,2,-2944.574,5893.149,5905.716,"WeibullPH","Pancreatic","All","Male","CPRD_GOLD"
"155",3499,1,-3497.698,6997.396,7003.68,"Exponential","Pancreatic","All","Male","CPRD_GOLD"
"156",3499,2,-2633.87,5271.741,5284.308,"Log-logistic","Pancreatic","All","Male","CPRD_GOLD"
"157",3499,2,-2638.52,5281.041,5293.608,"Log-normal","Pancreatic","All","Male","CPRD_GOLD"
"158",3499,3,-2634.986,5275.973,5294.824,"Generalised Gamma","Pancreatic","All","Male","CPRD_GOLD"
"159",3499,3,-2626.004,5258.009,5276.86,"Spline (1 knot)","Pancreatic","All","Male","CPRD_GOLD"
"160",3499,5,-2610.947,5231.894,5263.313,"Spline (3 knots)","Pancreatic","All","Male","CPRD_GOLD"
"161",3825,2,-2551.321,5106.643,5118.056,"Gompertz","Stomach","All","Female","CPRD_GOLD"
"162",3825,2,-2641.576,5287.153,5298.566,"WeibullPH","Stomach","All","Female","CPRD_GOLD"
"163",3825,1,-3088.226,6178.452,6184.159,"Exponential","Stomach","All","Female","CPRD_GOLD"
"164",3825,2,-2499.741,5003.481,5014.894,"Log-logistic","Stomach","All","Female","CPRD_GOLD"
"165",3825,2,-2492.585,4989.17,5000.583,"Log-normal","Stomach","All","Female","CPRD_GOLD"
"166",3825,3,-2483.554,4973.108,4990.228,"Generalised Gamma","Stomach","All","Female","CPRD_GOLD"
"167",3825,3,-2473.686,4953.371,4970.491,"Spline (1 knot)","Stomach","All","Female","CPRD_GOLD"
"168",3825,5,-2470.415,4950.83,4979.363,"Spline (3 knots)","Stomach","All","Female","CPRD_GOLD"
"169",6509,2,-4509.479,9022.959,9035.438,"Gompertz","Stomach","All","Male","CPRD_GOLD"
"170",6509,2,-4749.609,9503.218,9515.698,"WeibullPH","Stomach","All","Male","CPRD_GOLD"
"171",6509,1,-5334.53,10671.059,10677.299,"Exponential","Stomach","All","Male","CPRD_GOLD"
"172",6509,2,-4469.798,8943.596,8956.076,"Log-logistic","Stomach","All","Male","CPRD_GOLD"
"173",6509,2,-4471.766,8947.531,8960.011,"Log-normal","Stomach","All","Male","CPRD_GOLD"
"174",6509,3,-4458.976,8923.951,8942.671,"Generalised Gamma","Stomach","All","Male","CPRD_GOLD"
"175",6509,3,-4433.921,8873.842,8892.562,"Spline (1 knot)","Stomach","All","Male","CPRD_GOLD"
"176",6509,5,-4419.255,8848.509,8879.709,"Spline (3 knots)","Stomach","All","Male","CPRD_GOLD"
"177",16596,2,-2255.859,4515.718,4527.675,"Gompertz","Breast","18 to 39","Both","CPRD_GOLD"
"178",16596,2,-2261.401,4526.803,4538.76,"WeibullPH","Breast","18 to 39","Both","CPRD_GOLD"
"179",16596,1,-2261.667,4525.335,4531.314,"Exponential","Breast","18 to 39","Both","CPRD_GOLD"
"180",16596,2,-2255.571,4515.143,4527.1,"Log-logistic","Breast","18 to 39","Both","CPRD_GOLD"
"181",16596,2,-2254.811,4513.621,4525.578,"Log-normal","Breast","18 to 39","Both","CPRD_GOLD"
"182",16596,3,-2252.602,4511.205,4529.141,"Generalised Gamma","Breast","18 to 39","Both","CPRD_GOLD"
"183",16596,3,-2251.709,4509.419,4527.355,"Spline (1 knot)","Breast","18 to 39","Both","CPRD_GOLD"
"184",16596,5,-2241.839,4493.677,4523.57,"Spline (3 knots)","Breast","18 to 39","Both","CPRD_GOLD"
"185",65136,2,-6894.247,13792.494,13807.036,"Gompertz","Breast","40 to 49","Both","CPRD_GOLD"
"186",65136,2,-6896.879,13797.759,13812.3,"WeibullPH","Breast","40 to 49","Both","CPRD_GOLD"
"187",65136,1,-6898.524,13799.048,13806.319,"Exponential","Breast","40 to 49","Both","CPRD_GOLD"
"188",65136,2,-6884.168,13772.335,13786.876,"Log-logistic","Breast","40 to 49","Both","CPRD_GOLD"
"189",65136,2,-6871.678,13747.356,13761.898,"Log-normal","Breast","40 to 49","Both","CPRD_GOLD"
"190",65136,3,-6869.88,13745.761,13767.573,"Generalised Gamma","Breast","40 to 49","Both","CPRD_GOLD"
"191",65136,3,-6866.475,13738.95,13760.762,"Spline (1 knot)","Breast","40 to 49","Both","CPRD_GOLD"
"192",65136,5,-6848.648,13707.296,13743.65,"Spline (3 knots)","Breast","40 to 49","Both","CPRD_GOLD"
"193",132370,2,-11770.512,23545.024,23560.828,"Gompertz","Breast","50 to 59","Both","CPRD_GOLD"
"194",132370,2,-11774.861,23553.721,23569.525,"WeibullPH","Breast","50 to 59","Both","CPRD_GOLD"
"195",132370,1,-11774.874,23551.748,23559.65,"Exponential","Breast","50 to 59","Both","CPRD_GOLD"
"196",132370,2,-11767.199,23538.399,23554.203,"Log-logistic","Breast","50 to 59","Both","CPRD_GOLD"
"197",132370,2,-11767.769,23539.537,23555.341,"Log-normal","Breast","50 to 59","Both","CPRD_GOLD"
"198",132370,3,-11759.141,23524.282,23547.988,"Generalised Gamma","Breast","50 to 59","Both","CPRD_GOLD"
"199",132370,3,-11758.884,23523.768,23547.474,"Spline (1 knot)","Breast","50 to 59","Both","CPRD_GOLD"
"200",132370,5,-11757.239,23524.478,23563.988,"Spline (3 knots)","Breast","50 to 59","Both","CPRD_GOLD"
"201",127624,2,-15487.404,30978.808,30994.668,"Gompertz","Breast","60 to 69","Both","CPRD_GOLD"
"202",127624,2,-15489.667,30983.334,30999.194,"WeibullPH","Breast","60 to 69","Both","CPRD_GOLD"
"203",127624,1,-15489.796,30981.592,30989.522,"Exponential","Breast","60 to 69","Both","CPRD_GOLD"
"204",127624,2,-15503.095,31010.19,31026.049,"Log-logistic","Breast","60 to 69","Both","CPRD_GOLD"
"205",127624,2,-15605.994,31215.988,31231.848,"Log-normal","Breast","60 to 69","Both","CPRD_GOLD"
"206",127624,3,-15483.934,30973.869,30997.658,"Generalised Gamma","Breast","60 to 69","Both","CPRD_GOLD"
"207",127624,3,-15489.07,30984.14,31007.93,"Spline (1 knot)","Breast","60 to 69","Both","CPRD_GOLD"
"208",127624,5,-15474.553,30959.106,30998.756,"Spline (3 knots)","Breast","60 to 69","Both","CPRD_GOLD"
"209",68982,2,-15811.031,31626.061,31641.088,"Gompertz","Breast","70 to 79","Both","CPRD_GOLD"
"210",68982,2,-15808.588,31621.176,31636.203,"WeibullPH","Breast","70 to 79","Both","CPRD_GOLD"
"211",68982,1,-15811.774,31625.548,31633.062,"Exponential","Breast","70 to 79","Both","CPRD_GOLD"
"212",68982,2,-15864.49,31732.98,31748.008,"Log-logistic","Breast","70 to 79","Both","CPRD_GOLD"
"213",68982,2,-16024.818,32053.637,32068.664,"Log-normal","Breast","70 to 79","Both","CPRD_GOLD"
"214",68982,3,-15793.985,31593.97,31616.511,"Generalised Gamma","Breast","70 to 79","Both","CPRD_GOLD"
"215",68982,3,-15804.65,31615.301,31637.841,"Spline (1 knot)","Breast","70 to 79","Both","CPRD_GOLD"
"216",68982,5,-15792.247,31594.494,31632.062,"Spline (3 knots)","Breast","70 to 79","Both","CPRD_GOLD"
"217",34669,2,-15664.107,31332.215,31346.782,"Gompertz","Breast","80 +","Both","CPRD_GOLD"
"218",34669,2,-15655.995,31315.99,31330.558,"WeibullPH","Breast","80 +","Both","CPRD_GOLD"
"219",34669,1,-15664.617,31331.233,31338.517,"Exponential","Breast","80 +","Both","CPRD_GOLD"
"220",34669,2,-15798.972,31601.945,31616.512,"Log-logistic","Breast","80 +","Both","CPRD_GOLD"
"221",34669,2,-16015.25,32034.499,32049.067,"Log-normal","Breast","80 +","Both","CPRD_GOLD"
"222",34669,3,-15651.403,31308.806,31330.657,"Generalised Gamma","Breast","80 +","Both","CPRD_GOLD"
"223",34669,3,-15654.182,31314.365,31336.216,"Spline (1 knot)","Breast","80 +","Both","CPRD_GOLD"
"224",34669,5,-15650.55,31311.101,31347.52,"Spline (3 knots)","Breast","80 +","Both","CPRD_GOLD"
"225",2533,2,-512.745,1029.49,1038.146,"Gompertz","Colorectal","18 to 39","Both","CPRD_GOLD"
"226",2533,2,-529.28,1062.56,1071.216,"WeibullPH","Colorectal","18 to 39","Both","CPRD_GOLD"
"227",2533,1,-551.174,1104.348,1108.676,"Exponential","Colorectal","18 to 39","Both","CPRD_GOLD"
"228",2533,2,-525.033,1054.067,1062.723,"Log-logistic","Colorectal","18 to 39","Both","CPRD_GOLD"
"229",2533,2,-520.801,1045.603,1054.259,"Log-normal","Colorectal","18 to 39","Both","CPRD_GOLD"
"230",2533,3,-519.507,1045.014,1057.997,"Generalised Gamma","Colorectal","18 to 39","Both","CPRD_GOLD"
"231",2533,3,-517.06,1040.121,1053.104,"Spline (1 knot)","Colorectal","18 to 39","Both","CPRD_GOLD"
